Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Baden-Württem­berg,3.714.108,7.826,26.526,"238,9",16.182,,,,,,,,,,,,,,
Bayern,4.956.999,10.994,40.540,"308,5",24.167,,,,,,,,,,,,,,
Berlin,1.061.611,2.237,7.585,"207,0",4.628,,,,,,,,,,,,,,
Branden­burg,797.080,1.290,4.432,"175,1",5.688,,,,,,,,,,,,,,
Bremen,204.310,752,2.545,"374,2",780,,,,,,,,,,,,,,
Hamburg,594.566,2.388,6.135,"331,2",2.679,,,,,,,,,,,,,,
Hessen,1.900.217,6.135,26.370,"419,0",10.222,,,,,,,,,,,,,,
"Meck­lenburg-
Vor­pommern",492.588,616,3.495,"217,0",2.239,,,,,,,,,,,,,,
Nieder­sachsen,2.423.749,12.189,36.357,"454,3",9.429,,,,,,,,,,,,,,
Nord­rhein-West­falen,5.384.556,20.153,67.605,"377,1",25.504,,,,,,,,,,,,,,
Rhein­land-Pfalz,1.173.348,4.796,13.346,"325,6",5.698,,,,,,,,,,,,,,
Saarland,319.857,776,3.175,"322,7",1.701,,,,,,,,,,,,,,
Sachsen,1.519.556,2.171,6.517,"160,6",15.559,,,,,,,,,,,,,,
Sachsen-Anhalt,722.264,1.179,3.720,"170,6",5.374,,,,,,,,,,,,,,
Schles­wig-Holstein,760.562,3.823,14.687,"504,6",2.563,,,,,,,,,,,,,,
Thüringen,713.159,553,2.000,"94,3",7.316,,,,,,,,,,,,,,
Gesamt,26.738.530,77.878,265.035,"318,7",139.729,,,,,,,,,,,,,,